Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,295,220.873198,0.617193
BAKON_002,293,217.239521,0.617473
BAKON_003,296,222.321735,0.616925
BAKON_004,293,217.661632,0.618754
BAKON_005,292,104.696399,0.316378
BAKON_006,22,26.793216,1.825516
BAKON_007,296,426.169886,1.066615
BAKON_008,293,419.265202,1.071333
BAKON_009,294,163.774809,0.497082
BAKON_010,17,70.455342,6.478904
BAKON_011,55,102.784864,2.165239
BAKON_530,170,56.16243,0.505126
BAKON_303,293,464.415141,1.266497
BAKON_551,298,608.524407,1.408121
BAKON_393,296,188.172075,0.554912
BAKON_572,298,1522.686566,2.922818
BAKON_045,293,46.474414,0.152898
BAKON_534,294,106.968306,0.334646
BAKON_373,300,858.091181,1.981038
BAKON_211,302,1401.795644,2.362612
BAKON_525,293,43.560992,0.144617
BAKON_084,301,565.684472,1.33972
BAKON_019,294,222.471387,0.606517
BAKON_282,299,861.952611,2.237016
BAKON_535,294,106.054271,0.332527
BAKON_147,296,320.233117,0.94646
BAKON_377,299,523.433569,1.339615
BAKON_357,279,70.519605,0.258078
BAKON_140,298,631.222866,1.648108
BAKON_470,300,670.321961,1.608498
BAKON_547,293,36.459367,0.120682
BAKON_237,294,438.718955,1.187201
BAKON_524,292,42.817837,0.143324
BAKON_260,297,478.958459,1.269872
BAKON_329,293,49.717888,0.162524
BAKON_542,294,348.488919,0.890601
BAKON_194,299,326.168271,0.838058
BAKON_153,297,316.545206,0.855896
BAKON_112,295,709.596158,2.064556
BAKON_494,293,114.498569,0.371299
BAKON_196,299,351.507604,0.884084
BAKON_554,297,471.997011,1.271201
BAKON_557,291,3.095153,0.010656
BAKON_394,297,245.724933,0.702116
BAKON_203,296,248.703348,0.67222
BAKON_276,297,571.15602,1.413862
BAKON_569,291,36.85663,0.124234
BAKON_234,302,1949.380522,3.971854
BAKON_256,297,519.540488,1.292402
BAKON_185,301,564.937954,1.350438
BAKON_205,301,563.485294,1.323149
BAKON_029,294,242.069307,0.66765
BAKON_258,298,571.677988,1.374676
BAKON_559,155,17.596235,0.206593
BAKON_181,297,287.905017,0.802847
BAKON_523,291,66.215495,0.22043
BAKON_156,293,264.967472,0.741918
BAKON_344,292,100.255893,0.326743
BAKON_520,294,72.906628,0.237339
BAKON_327,289,932.270062,2.334965
BAKON_125,297,476.919941,1.208738
BAKON_338,293,132.153019,0.395742
BAKON_570,299,997.058344,2.153102
BAKON_280,294,227.740162,0.664062
BAKON_506,294,160.652037,0.502252
BAKON_024,290,2.266713,0.007877
BAKON_065,288,116.94082,0.384815
BAKON_102,296,695.964314,1.761536
BAKON_032,296,246.323386,0.668099
BAKON_306,298,636.069286,1.643228
BAKON_594,296,454.739584,1.132482
BAKON_586,295,446.685023,1.119967
BAKON_034,296,222.623219,0.608835
BAKON_012,290,2.737218,0.009498
BAKON_533,293,106.176187,0.33479
BAKON_374,300,858.262663,1.97855
BAKON_182,300,523.403369,1.310813
BAKON_425,293,678.099458,1.897061
BAKON_473,299,496.005886,1.327122
BAKON_209,301,1014.126949,2.001785
BAKON_429,292,71.898675,0.238708
BAKON_537,297,315.870736,0.791364
BAKON_522,292,66.080923,0.2185
