Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,9,4.029607,0.00001
BAKON_002,73,749.200623,0.000063
BAKON_003,59,622.48614,0.000066
BAKON_004,75,858.623188,0.000069
BAKON_005,27,428.758745,0.000132
BAKON_006,37,565.2262,0.000163
BAKON_007,70,988.675553,0.000092
BAKON_008,71,638.450356,0.000066
BAKON_009,66,458.613656,0.000057
BAKON_010,13,15.786618,0.000022
BAKON_011,13,15.786618,0.000022
BAKON_012,13,15.786618,0.000022
BAKON_591,65,263.615611,0.000037
BAKON_587,66,362.230156,0.000046
BAKON_586,67,525.710118,0.000059
BAKON_570,67,1268.418216,0.0001
BAKON_564,63,1238.026184,0.000111
BAKON_554,64,371.010497,0.000046
BAKON_553,65,744.928488,0.000072
BAKON_535,76,830.264721,0.000077
BAKON_531,74,420.02145,0.000044
BAKON_529,74,318.261035,0.000036
BAKON_528,73,269.478228,0.000033
BAKON_526,73,221.527517,0.000028
BAKON_524,73,200.038578,0.000025
BAKON_522,72,194.986223,0.000024
BAKON_518,72,182.499371,0.000023
BAKON_513,72,180.446695,0.000023
BAKON_512,71,166.195538,0.000021
BAKON_511,73,241.482899,0.000028
BAKON_510,73,253.222664,0.000029
BAKON_505,70,241.844127,0.00003
BAKON_504,69,224.506388,0.000028
BAKON_503,68,197.707793,0.000027
BAKON_487,68,777.171307,0.000092
BAKON_470,74,1162.198297,0.000109
BAKON_466,73,1216.497582,0.000106
BAKON_452,65,816.420672,0.000086
BAKON_391,72,723.294544,0.00008
BAKON_390,71,641.62926,0.000073
BAKON_385,69,523.542345,0.000052
BAKON_375,71,571.997042,0.00006
BAKON_374,70,537.131919,0.000059
BAKON_344,60,0,0
BAKON_260,65,369.928105,0.000047
BAKON_258,66,522.525313,0.000059
BAKON_253,68,1303.176672,0.000114
BAKON_212,70,1328.367641,0.00013
BAKON_196,72,1281.113149,0.000122
BAKON_173,70,1195.632446,0.000115
BAKON_169,60,0,0
BAKON_160,71,855.849257,0.000072
BAKON_153,77,952.85539,0.000068
BAKON_152,77,920.012247,0.000069
BAKON_150,75,800.27431,0.000064
BAKON_133,69,422.049869,0.000043
BAKON_130,69,422.049869,0.000043
BAKON_127,68,312.126347,0.000035
BAKON_123,67,277.130914,0.000033
BAKON_122,66,224.177483,0.000028
BAKON_098,64,569.869374,0.00008
BAKON_083,78,1425.778639,0.000087
BAKON_082,77,1294.988652,0.000081
BAKON_055,76,1430.419778,0.000124
BAKON_040,64,103.239852,0.000017
BAKON_039,69,249.225611,0.000029
BAKON_037,71,336.185813,0.000036
BAKON_035,76,570.330097,0.000048
BAKON_034,75,511.112607,0.000045
BAKON_021,73,757.625731,0.000073
BAKON_013,55,427.454137,0.000056
BAKON_611,55,462.681392,0.000062
BAKON_604,49,1093.042373,0.000115
BAKON_585,56,956.363569,0.000112
BAKON_571,51,709.098952,0.000092
BAKON_545,54,274.773072,0.000044
BAKON_534,61,361.639253,0.000047
